--------- beginning of /dev/log/system
07-11 13:52:26.719 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 27635): empty #17
07-11 14:51:20.289 D/mdm_log ( 3259): [null:-1]->file download complete! url is/storage/emulated/0/MDM/download/commojimjweather.apk
07-11 14:51:20.320 D/ypy     ( 3259): [null:-1]-> ================ checkDownLoadStatus status is 3
07-11 14:51:20.320 D/ypy     ( 3259): [null:-1]-> ================ checkDownLoadStatus status is 3
07-11 14:51:20.320 D/ypy     ( 3259): [null:-1]-> ================ checkDownLoadStatus status is 3
07-11 14:51:20.429 D/dalvikvm( 7852): GC_FOR_ALLOC freed 498K, 57% free 635K/1472K, paused 6ms, total 6ms
07-11 14:51:21.047 I/QueryController( 7852): Matched selector: UiSelector[TEXT=安装] <<==>> [android.view.accessibility.AccessibilityNodeInfo@a0cfc; boundsInParent: Rect(0, 0 - 640, 76); boundsInScreen: Rect(40, 1068 - 680, 1144); packageName: com.pekall.emdm; className: android.widget.Button; text: 安装; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_app_detail_download_btn; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:21.070 I/QueryController( 7852): Matched selector: UiSelector[TEXT=安装, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@a0cfc; boundsInParent: Rect(0, 0 - 640, 76); boundsInScreen: Rect(40, 1068 - 680, 1144); packageName: com.pekall.emdm; className: android.widget.Button; text: 安装; contentDescription: null; viewIdResName: com.pekall.emdm:id/market_app_detail_download_btn; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:21.078 D/InteractionController( 7852): clickAndWaitForNewWindow(360, 1106)
07-11 14:51:21.187 I/ActivityManager(  374): START u0 {act=android.intent.action.VIEW dat=file:///storage/emulated/0/MDM/download/commojimjweather.apk typ=application/vnd.android.package-archive flg=0x10000000 cmp=com.android.packageinstaller/.PackageInstallerActivity} from pid 3259
07-11 14:51:21.312 D/dalvikvm(  374): GC_FOR_ALLOC freed 2791K, 30% free 22972K/32488K, paused 123ms, total 124ms
07-11 14:51:21.328 D/MdmApplication( 3259): [null:-1]->onActivityPaused market.activity.AppDetailActivity , mActivityCount = 3
07-11 14:51:21.328 D/MDM :   ( 3259): [null:-1]->query
07-11 14:51:21.328 D/MDM :   ( 3259): [null:-1]->QUERY_PINCODE_CHECK_RESULT
07-11 14:51:21.328 E/Mdm     ( 3259): Call Mdm service's setLastExitTime function
07-11 14:51:21.367 I/ActivityManager(  374): Start proc com.android.packageinstaller for activity com.android.packageinstaller/.PackageInstallerActivity: pid=8084 uid=10045 gids={50045, 1028}
07-11 14:51:21.578 D/dalvikvm( 8084): GC_CONCURRENT freed 165K, 3% free 9268K/9468K, paused 4ms+4ms, total 38ms
07-11 14:51:21.578 D/dalvikvm( 8084): WAIT_FOR_CONCURRENT_GC blocked 11ms
07-11 14:51:21.679 D/dalvikvm( 8084): GC_CONCURRENT freed 264K, 4% free 9508K/9816K, paused 2ms+2ms, total 29ms
07-11 14:51:21.679 D/dalvikvm( 8084): WAIT_FOR_CONCURRENT_GC blocked 12ms
07-11 14:51:21.726 D/dalvikvm( 8084): GC_FOR_ALLOC freed 148K, 4% free 9635K/9944K, paused 24ms, total 24ms
07-11 14:51:21.726 I/dalvikvm-heap( 8084): Grow heap (frag case) to 9.690MB for 260112-byte allocation
07-11 14:51:21.758 D/dalvikvm( 8084): GC_FOR_ALLOC freed 126K, 5% free 9763K/10200K, paused 28ms, total 28ms
07-11 14:51:21.789 D/dalvikvm( 8084): GC_FOR_ALLOC freed 311K, 5% free 9753K/10264K, paused 22ms, total 22ms
07-11 14:51:21.812 D/dalvikvm( 8084): GC_FOR_ALLOC freed 62K, 5% free 9816K/10264K, paused 22ms, total 22ms
07-11 14:51:21.836 D/dalvikvm( 8084): GC_FOR_ALLOC freed 126K, 4% free 9944K/10264K, paused 23ms, total 23ms
07-11 14:51:21.867 D/dalvikvm( 8084): GC_FOR_ALLOC freed 307K, 5% free 9933K/10444K, paused 23ms, total 24ms
07-11 14:51:21.890 D/dalvikvm( 8084): GC_FOR_ALLOC freed 62K, 5% free 9996K/10444K, paused 22ms, total 22ms
07-11 14:51:21.890 I/dalvikvm-heap( 8084): Grow heap (frag case) to 10.042MB for 260112-byte allocation
07-11 14:51:21.922 D/dalvikvm( 8084): GC_FOR_ALLOC freed 126K, 6% free 10124K/10700K, paused 28ms, total 28ms
07-11 14:51:21.992 D/dalvikvm( 8084): GC_CONCURRENT freed 315K, 4% free 10272K/10700K, paused 5ms+3ms, total 31ms
07-11 14:51:22.117 D/dalvikvm( 8084): GC_CONCURRENT freed 106K, 2% free 10652K/10796K, paused 5ms+3ms, total 36ms
07-11 14:51:22.258 D/dalvikvm( 8084): GC_CONCURRENT freed 119K, 2% free 11108K/11264K, paused 3ms+4ms, total 34ms
07-11 14:51:22.390 D/dalvikvm( 8084): GC_CONCURRENT freed 364K, 4% free 11475K/11876K, paused 3ms+3ms, total 37ms
07-11 14:51:22.578 D/dalvikvm( 6245): GC_CONCURRENT freed 408K, 7% free 9351K/10016K, paused 4ms+3ms, total 53ms
07-11 14:51:22.586 D/dalvikvm( 8084): GC_CONCURRENT freed 394K, 4% free 11935K/12364K, paused 2ms+3ms, total 46ms
07-11 14:51:22.586 D/dalvikvm( 8084): WAIT_FOR_CONCURRENT_GC blocked 17ms
07-11 14:51:22.836 I/AppSecurityPermissions( 8084): Ignoring unknown permission:android.permission.RECEIVE_USER_PRESENT
07-11 14:51:22.851 I/AppSecurityPermissions( 8084): Ignoring unknown permission:getui.permission.GetuiService
07-11 14:51:22.961 D/dalvikvm( 8084): GC_CONCURRENT freed 777K, 7% free 12122K/12936K, paused 3ms+24ms, total 48ms
07-11 14:51:23.336 D/libEGL  ( 8084): loaded /vendor/lib/egl/libEGL_POWERVR_SGX540_120.so
07-11 14:51:23.351 D/libEGL  ( 8084): loaded /vendor/lib/egl/libGLESv1_CM_POWERVR_SGX540_120.so
07-11 14:51:23.367 D/libEGL  ( 8084): loaded /vendor/lib/egl/libGLESv2_POWERVR_SGX540_120.so
07-11 14:51:23.469 D/OpenGLRenderer( 8084): Enabling debug mode 0
07-11 14:51:23.578 V/RenderScript( 8084): 0x59320ea0 Launching thread(s), CPUs 2
07-11 14:51:23.640 I/ActivityManager(  374): Displayed com.android.packageinstaller/.PackageInstallerActivity: +2s287ms
07-11 14:51:24.570 D/dalvikvm( 7852): GC_FOR_ALLOC freed 517K, 58% free 630K/1472K, paused 6ms, total 6ms
07-11 14:51:24.742 I/QueryController( 7852): Matched selector: UiSelector[TEXT=下一步, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2747b; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(361, 1088 - 720, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 下一步; contentDescription: null; viewIdResName: com.android.packageinstaller:id/ok_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:25.320 I/QueryController( 7852): Matched selector: UiSelector[TEXT=下一步, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2747b; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(361, 1088 - 720, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 下一步; contentDescription: null; viewIdResName: com.android.packageinstaller:id/ok_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:25.328 D/InteractionController( 7852): clickAndWaitForNewWindow(540, 1136)
07-11 14:51:27.195 D/MdmService( 3259): [null:-1]->receiver action :com.pekall.mdm.action.MDM_ALARM
07-11 14:51:28.429 W/InteractionController( 7852): runAndwaitForEvent timedout waiting for events
07-11 14:51:28.804 I/QueryController( 7852): Matched selector: UiSelector[TEXT=下一步, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2747b; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(361, 1088 - 720, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 下一步; contentDescription: null; viewIdResName: com.android.packageinstaller:id/ok_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:29.422 I/QueryController( 7852): Matched selector: UiSelector[TEXT=下一步, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2747b; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(361, 1088 - 720, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 下一步; contentDescription: null; viewIdResName: com.android.packageinstaller:id/ok_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:29.422 D/InteractionController( 7852): clickAndWaitForNewWindow(540, 1136)
07-11 14:51:29.531 D/dalvikvm( 7852): GC_FOR_ALLOC freed 483K, 56% free 659K/1472K, paused 7ms, total 7ms
07-11 14:51:31.781 D/dalvikvm(26136): GC_CONCURRENT freed 390K, 5% free 9908K/10348K, paused 5ms+2ms, total 48ms
07-11 14:51:32.523 W/InteractionController( 7852): runAndwaitForEvent timedout waiting for events
07-11 14:51:32.625 I/QueryController( 7852): Matched selector: UiSelector[TEXT=下一步, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2747b; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(361, 1088 - 720, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 下一步; contentDescription: null; viewIdResName: com.android.packageinstaller:id/ok_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:32.656 I/QueryController( 7852): Matched selector: UiSelector[TEXT=下一步, CLASS=android.widget.Button] <<==>> [android.view.accessibility.AccessibilityNodeInfo@2747b; boundsInParent: Rect(0, 0 - 359, 96); boundsInScreen: Rect(361, 1088 - 720, 1184); packageName: com.android.packageinstaller; className: android.widget.Button; text: 下一步; contentDescription: null; viewIdResName: com.android.packageinstaller:id/ok_button; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_FOCUS, ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_CLICK, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY, ACTION_SET_SELECTION]]
07-11 14:51:32.664 D/InteractionController( 7852): clickAndWaitForNewWindow(540, 1136)
07-11 14:51:32.773 I/ActivityManager(  374): START u0 {dat=file:///storage/emulated/0/MDM/download/commojimjweather.apk cmp=com.android.packageinstaller/.InstallAppProgress (has extras)} from pid 8084
07-11 14:51:32.929 D/dalvikvm(  374): GC_FOR_ALLOC freed 860K, 30% free 22970K/32488K, paused 108ms, total 108ms
07-11 14:51:33.070 D/dalvikvm( 6259): GC_CONCURRENT freed 387K, 5% free 8952K/9376K, paused 3ms+4ms, total 40ms
07-11 14:51:33.078 W/ActivityManager(  374): No content provider found for permission revoke: file:///storage/emulated/0/MDM/download/commojimjweather.apk
07-11 14:51:33.125 D/Finsky  ( 5250): [1] PackageVerificationReceiver.onReceive: Verification requested, id = 11
07-11 14:51:33.148 D/Finsky  ( 5250): [1] WorkerTask.onPreExecute: Verification Requested for id = 11, data=file:///storage/emulated/0/MDM/download/commojimjweather.apk flags=16 fromVerificationActivity=false
07-11 14:51:33.203 I/ActivityManager(  374): Displayed com.android.packageinstaller/.InstallAppProgress: +261ms
07-11 14:51:33.336 D/dalvikvm( 5250): GC_CONCURRENT freed 530K, 31% free 9531K/13704K, paused 11ms+4ms, total 42ms
07-11 14:51:33.344 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 9ms
07-11 14:51:33.453 D/dalvikvm( 5250): GC_CONCURRENT freed 190K, 29% free 9852K/13704K, paused 2ms+3ms, total 41ms
07-11 14:51:33.453 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 22ms
07-11 14:51:33.508 D/dalvikvm( 5250): GC_CONCURRENT freed 269K, 28% free 9975K/13704K, paused 5ms+3ms, total 34ms
07-11 14:51:33.508 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 24ms
07-11 14:51:33.554 D/dalvikvm( 5250): GC_FOR_ALLOC freed 126K, 27% free 10103K/13704K, paused 43ms, total 44ms
07-11 14:51:33.554 I/dalvikvm-heap( 5250): Grow heap (frag case) to 10.134MB for 184277-byte allocation
07-11 14:51:33.594 D/dalvikvm( 5250): GC_FOR_ALLOC freed 0K, 26% free 10283K/13888K, paused 37ms, total 37ms
07-11 14:51:33.633 D/dalvikvm( 5250): GC_FOR_ALLOC freed 373K, 27% free 10156K/13888K, paused 27ms, total 28ms
07-11 14:51:33.664 D/dalvikvm( 5250): GC_FOR_ALLOC freed 126K, 26% free 10284K/13888K, paused 26ms, total 27ms
07-11 14:51:33.664 I/dalvikvm-heap( 5250): Grow heap (frag case) to 10.311MB for 184156-byte allocation
07-11 14:51:33.695 D/dalvikvm( 5250): GC_FOR_ALLOC freed 0K, 26% free 10463K/14068K, paused 30ms, total 30ms
07-11 14:51:33.726 D/dalvikvm( 5250): GC_FOR_ALLOC freed 369K, 27% free 10336K/14068K, paused 26ms, total 26ms
07-11 14:51:33.758 D/dalvikvm( 5250): GC_FOR_ALLOC freed 126K, 26% free 10464K/14068K, paused 30ms, total 30ms
07-11 14:51:33.758 I/dalvikvm-heap( 5250): Grow heap (frag case) to 10.487MB for 184156-byte allocation
07-11 14:51:33.797 D/dalvikvm( 5250): GC_FOR_ALLOC freed 0K, 26% free 10644K/14248K, paused 34ms, total 34ms
07-11 14:51:33.914 D/dalvikvm( 5250): GC_CONCURRENT freed 376K, 24% free 10887K/14248K, paused 4ms+5ms, total 50ms
07-11 14:51:34.039 D/dalvikvm( 5250): GC_CONCURRENT freed 163K, 20% free 11403K/14248K, paused 3ms+5ms, total 42ms
07-11 14:51:34.039 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 25ms
07-11 14:51:34.172 D/dalvikvm( 5250): GC_CONCURRENT freed 539K, 18% free 11715K/14248K, paused 4ms+4ms, total 47ms
07-11 14:51:34.172 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 23ms
07-11 14:51:34.351 D/dalvikvm( 5250): GC_CONCURRENT freed 217K, 13% free 12452K/14248K, paused 4ms+4ms, total 60ms
07-11 14:51:34.351 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 36ms
07-11 14:51:35.070 D/dalvikvm( 5250): GC_CONCURRENT freed 1524K, 15% free 12124K/14248K, paused 3ms+4ms, total 50ms
07-11 14:51:35.070 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 40ms
07-11 14:51:35.187 D/dalvikvm( 5250): GC_CONCURRENT freed 1077K, 15% free 12129K/14248K, paused 4ms+4ms, total 51ms
07-11 14:51:35.187 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 38ms
07-11 14:51:35.297 D/dalvikvm( 5250): GC_CONCURRENT freed 1089K, 15% free 12131K/14248K, paused 4ms+4ms, total 56ms
07-11 14:51:35.297 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 42ms
07-11 14:51:35.414 D/dalvikvm( 5250): GC_CONCURRENT freed 1086K, 15% free 12139K/14248K, paused 3ms+3ms, total 53ms
07-11 14:51:35.414 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 42ms
07-11 14:51:35.523 D/dalvikvm( 5250): GC_CONCURRENT freed 1087K, 15% free 12147K/14248K, paused 3ms+3ms, total 50ms
07-11 14:51:35.523 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 37ms
07-11 14:51:35.640 D/dalvikvm( 5250): GC_CONCURRENT freed 1087K, 15% free 12159K/14248K, paused 3ms+4ms, total 54ms
07-11 14:51:35.640 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 44ms
07-11 14:51:35.844 D/dalvikvm( 5250): GC_CONCURRENT freed 1096K, 15% free 12165K/14248K, paused 3ms+3ms, total 53ms
07-11 14:51:35.844 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 43ms
07-11 14:51:35.984 I/ActivityManager(  374): Process android.process.acore (pid 5892) has died.
07-11 14:51:36.000 D/dalvikvm( 5250): GC_CONCURRENT freed 1097K, 15% free 12167K/14248K, paused 3ms+3ms, total 67ms
07-11 14:51:36.008 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 39ms
07-11 14:51:36.125 D/dalvikvm( 5250): GC_CONCURRENT freed 1094K, 15% free 12173K/14248K, paused 5ms+4ms, total 56ms
07-11 14:51:36.125 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 35ms
07-11 14:51:36.226 D/dalvikvm( 5250): GC_CONCURRENT freed 1094K, 15% free 12179K/14248K, paused 4ms+4ms, total 54ms
07-11 14:51:36.226 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 39ms
07-11 14:51:36.336 D/dalvikvm( 5250): GC_CONCURRENT freed 1095K, 15% free 12193K/14248K, paused 4ms+4ms, total 53ms
07-11 14:51:36.336 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 41ms
07-11 14:51:36.453 D/dalvikvm( 5250): GC_CONCURRENT freed 1106K, 15% free 12199K/14248K, paused 3ms+3ms, total 54ms
07-11 14:51:36.453 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 46ms
07-11 14:51:36.570 D/dalvikvm( 5250): GC_CONCURRENT freed 1105K, 15% free 12205K/14248K, paused 3ms+4ms, total 53ms
07-11 14:51:36.570 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 27ms
07-11 14:51:36.687 D/dalvikvm( 5250): GC_CONCURRENT freed 1107K, 15% free 12216K/14248K, paused 2ms+4ms, total 52ms
07-11 14:51:36.687 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 43ms
07-11 14:51:36.812 D/dalvikvm( 5250): GC_CONCURRENT freed 1111K, 15% free 12226K/14248K, paused 3ms+4ms, total 54ms
07-11 14:51:36.812 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 41ms
07-11 14:51:36.929 D/dalvikvm( 5250): GC_CONCURRENT freed 1116K, 15% free 12230K/14248K, paused 4ms+4ms, total 54ms
07-11 14:51:36.929 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 39ms
07-11 14:51:37.062 D/dalvikvm( 5250): GC_CONCURRENT freed 1109K, 15% free 12247K/14248K, paused 2ms+4ms, total 54ms
07-11 14:51:37.070 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 42ms
07-11 14:51:37.195 D/dalvikvm( 5250): GC_CONCURRENT freed 1128K, 15% free 12245K/14248K, paused 4ms+5ms, total 55ms
07-11 14:51:37.195 D/dalvikvm( 5250): WAIT_FOR_CONCURRENT_GC blocked 39ms
07-11 14:51:37.328 D/dalvikvm(20727): GC_CONCURRENT freed 384K, 8% free 10127K/10920K, paused 9ms+4ms, total 40ms
07-11 14:51:37.359 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:51:37.359 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:51:37.367 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:51:37.367 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:51:37.367 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:51:37.367 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:51:37.375 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:51:37.375 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:51:37.375 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:51:37.375 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:51:37.375 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:51:37.383 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:51:37.383 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:51:37.383 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 14:51:37.500 D/dalvikvm( 6245): GC_CONCURRENT freed 309K, 6% free 9492K/10012K, paused 5ms+3ms, total 36ms
07-11 14:51:37.500 I/ActivityManager(  374): Start proc android.process.acore for content provider com.android.providers.contacts/.ContactsProvider2: pid=8138 uid=10000 gids={50000, 3003, 1015, 1028}
07-11 14:51:37.765 D/dalvikvm( 8138): GC_CONCURRENT freed 229K, 3% free 9199K/9460K, paused 16ms+24ms, total 82ms
07-11 14:51:37.765 D/dalvikvm( 8138): WAIT_FOR_CONCURRENT_GC blocked 10ms
07-11 14:51:38.304 I/ContactLocale( 8138): AddressBook Labels [zh_CN]: [, A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U, V, W, X, Y, Z, Α, Β, Γ, Δ, Ε, Ζ, Η, Θ, Ι, Κ, Λ, Μ, Ν, Ξ, Ο, Π, Ρ, Σ, Τ, Υ, Φ, Χ, Ψ, Ω, , А, Б, В, Г, Д, Е, Є, Ж, З, И, І, Ї, Й, К, Л, М, Н, О, П, Р, С, Т, У, Ф, Х, Ц, Ч, Ш, Щ, Ю, Я, , א, ב, ג, ד, ה, ו, ז, ח, ט, י, כ, ל, מ, נ, ס, ע, פ, צ, ק, ר, ש, ת, , ا, ب, ت, ث, ج, ح, خ, د, ذ, ر, ز, س, ش, ص, ض, ط, ظ, ع, غ, ف, ق, ك, ل, م, ن, ه, و, ي, , ก, ข, ฃ, ค, ฅ, ฆ, ง, จ, ฉ, ช, ซ, ฌ, ญ, ฎ, ฏ, ฐ, ฑ, ฒ, ณ, ด, ต, ถ, ท, ธ, น, บ, ป, ผ, ฝ, พ, ฟ, ภ, ม, ย, ร, ฤ, ล, ฦ, ว, ศ, ษ, ส, ห, ฬ, อ, ฮ, #, ]
07-11 14:51:38.445 W/Settings(25429): Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
07-11 14:51:38.445 W/Settings(25429): Setting mobile_data has moved from android.provider.Settings.Secure to android.provider.Settings.Global.
07-11 14:51:38.453 D/BluetoothAdapter(25429): 1108510848: getState() :  mService = null. Returning STATE_OFF
07-11 14:51:38.453 W/Settings(25429): Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
07-11 14:51:38.469 W/Settings(25429): Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
07-11 14:51:38.469 W/Settings(25429): Setting mobile_data has moved from android.provider.Settings.Secure to android.provider.Settings.Global.
07-11 14:51:38.469 D/BluetoothAdapter(25429): 1108510848: getState() :  mService = null. Returning STATE_OFF
07-11 14:51:38.469 W/Settings(25429): Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
07-11 14:51:38.484 W/Settings(25429): Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
07-11 14:51:38.492 W/Settings(25429): Setting mobile_data has moved from android.provider.Settings.Secure to android.provider.Settings.Global.
07-11 14:51:38.492 D/BluetoothAdapter(25429): 1108510848: getState() :  mService = null. Returning STATE_OFF
07-11 14:51:38.492 W/Settings(25429): Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
07-11 14:51:38.539 D/dalvikvm(25429): GC_CONCURRENT freed 407K, 6% free 9724K/10252K, paused 6ms+4ms, total 46ms
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 14:51:38.687 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 14:51:38.695 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 14:51:38.695 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 14:51:38.695 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 14:51:38.695 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 14:51:38.703 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 14:51:38.703 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
